id,place_name,address,p_type,sub_type,contact_number,current_status,website,latitude,longitude,created_at,updated_at,action,bkoi_addr,rev_data
33512,Mutanabi Park,"زيد بن ثابت Zaid Ibn Thabit, 2492, Al Malaz, Riyadh 12831, Saudi Arabia",Recreation,Park,,,,24.6758559,46.7313413,41:41.0,41:41.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33508,Aryaf Al Mamlaka Restaurant,"Mustafa Radwan, Al Malaz, Riyadh 12841, Saudi Arabia",Food,Restaurant,,Closed ⋅ Opens 11 AM,,24.6606951,46.7428243,38:47.0,38:58.0,2,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33513,Masjid Zaid bin Thabit Al Malaz,"MPGJ+G8P, Al Malaz, Riyadh 12831, Saudi Arabia",Religious Place,Masjid,,,,24.676326,46.7308267,42:10.0,42:10.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33514,Compui,"2371 Al Katani, Al Malaz, Riyadh 12831, Saudi Arabia",Office,Software Company,+966 53 936 3299,Opens soon ⋅ 9 AM,compui.com.sa,24.676434,46.7301109,42:52.0,42:52.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33516,SITCO Pharma,"MPFP+V64, Al Ihsaa, Al Malaz, Riyadh 12831, Saudi Arabia",Office,Corporate Office,+966 11 475 7500,Open ⋅ Closes 3 PM,sitcopharma.com,24.6746342,46.7355928,44:13.0,44:13.0,0,..,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33517,Al Esaa Press,"Omar Ibn Al Khattab Rd, Al Malaz, Riyadh 12842, Saudi Arabia",Shop,Printing,+966 11 473 5456,Closed ⋅ Opens 9:30 AM,,24.6540211,46.7532716,49:05.0,49:05.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33509,Aryaf Al Mamlaka Restaurant,"Mustafa Radwan, Al Malaz, Riyadh 12841, Saudi Arabia",Food,Restaurant,,Closed ⋅ Opens 11 AM,,24.6606951,46.7428243,38:47.0,38:47.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33515,First Flag,"Al Malaz, Riyadh 12831, Saudi Arabia",Shop,Clothing,+966 55 345 5343,Closed ⋅ Opens 9:30 AM,,24.6763125,46.7295625,43:08.0,43:08.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33507,Aryaf Al Mamlaka Restaurant,"Mustafa Radwan, Al Malaz, Riyadh 12841, Saudi Arabia",Food,Restaurant,,Closed ⋅ Opens 11 AM,,24.6606951,46.7428243,38:47.0,38:56.0,2,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33468,Sharikat Turki Abdullah Al Eid,"مكتب 2، الملز، المملكة العربية السعودية الرياض حي الملز عمارة العليان الدور الاول، 12841،, Riyadh 12632, Saudi Arabia",Office,Corporate Office,+966 55 420 1135,Open 24 hours,,24.6524914,46.7352315,57:44.0,57:44.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33510,BAZY Track Solution,"MP6R+7VG, Salah Ad Din Al Ayyubi Rd, Al Malaz, Riyadh 12841, Saudi Arabia",Office,IT Firm,+966 50 666 3619,Open ⋅ Closes 5 PM,sa.bazytrack.com,24.6606799,46.74219,39:19.0,39:19.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33511,Salahuddin Al Ayubi 16 A,"Al Malaz, Riyadh 12841, Saudi Arabia",Transportation,Bus Stand,,,,24.6608922,46.7413744,40:02.0,40:02.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33518,Ali bin abi Talib station 18B,RESA6085، 6085 علي بن أبي طالب، 2655، حي الصفا، الرياض 12854، Saudi Arabia,Transportation,Bus Stand,,,,24.6546852,46.7543028,49:29.0,49:29.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33519,Subaie Car Wash,"7670 Al Imam Ali Ibn Abi Taleb, Al Malaz, Riyadh 12842, Saudi Arabia",Shop,Car & Motorcycle Wash,,Open ⋅ Closes 2 PM ⋅ Reopens 4 PM,,24.6545584,46.7537881,49:43.0,49:43.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33520,Al Muhammadi,4023 المحمدي، الملز، الرياض 12842 7665، Saudi Arabia,Religious Place,Masjid,,,,24.6543885,46.7532369,50:11.0,50:11.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33521,SHASCO,"Omar ibn elkhattab street, Al Malaz, Riyadh 12842, Saudi Arabia",Office,IT Firm,+966 9200 12552,Open ⋅ Closes 5 PM,shascotel.net,24.6540328,46.7527527,50:27.0,50:27.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33522,Abdullah al Dakhil Mosque,"3992 Makki Ibn Sawadah, Al Malaz, Riyadh 12842, Saudi Arabia",Religious Place,Masjid,,Open 24 hours,,24.6547321,46.7529641,50:40.0,50:40.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33523,McDonald's,"REMA3954، 3954 Arwa Bint Abdul Moteleb, Al Malaz، 7854, Riyadh 12842, Saudi Arabia",Food,Fast Food,,Open ⋅ Closes 4 AM,,24.6561005,46.7529714,51:01.0,51:01.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33352,Majestic Lights for Oud,"Al Malaz، طريق عمر بن عبدالعزيز جنوب المستشفي الوطني, Riyadh Saudi Arabia",Shop,Cosmetics,+966 11 472 1571,Open ⋅ Closes 11:30 PM,,24.6787732,46.727135,55:12.0,55:12.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33353,Al Hazimi Pharmacy,"2051 Umar Ibn Abdul Aziz Br Rd, Al Malaz, Riyadh 12831, Saudi Arabia",Shop,Pharmacy,,Open 24 hours,lemon.sa,24.6786284,46.727019,56:57.0,56:57.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33524,Masjid Al Amirah Haya Bint Turki Al Turki,7928، 3885 الخفجي، الملز الرياض 12842 Saudi Arabia,Religious Place,Masjid,,,,24.656774,46.751911,51:35.0,51:35.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33525,LuLu Hypermarket,"Ali Ibn Abi Talib Branch Rd, Al Malaz, Riyadh 12842, Saudi Arabia",Commercial,Shopping Mall,,Open ⋅ Closes 12 AM,luluhypermarket.com,24.6593904,46.7512699,51:56.0,51:56.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33354,Subway,"Building No. 434, Salah Ad Din Al Ayyubi Rd, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Fast Food,+966 9200 12782,Open ⋅ Closes 12:45 AM,subwayarabia.com,24.6785527,46.7268378,57:29.0,57:29.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33526,Dosa Corner,"Lulu Malaz Food Court, Ali Ibn Abi Talib Branch Rd, Al Malaz, Riyadh 12842, Saudi Arabia",Food,Fast Food,,Closed ⋅ Opens 12 PM,,24.6590424,46.7509091,52:04.0,52:04.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33355,Indigo Airlines,"2374 جرير، 7118, Riyadh 12831, Saudi Arabia",Office,Office,+966 11 291 3812,Closes soon ⋅ 1 PM ⋅ Reopens 2 PM,goindigo.in,24.6787505,46.7269608,57:49.0,57:49.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33356,Dnata Travel,"Salah Ad Din Al Ayyubi Rd, Al Malaz, Building No. 434, Riyadh 12831, Saudi Arabia",Office,Travel Agency,+966 11 291 4432,Open ⋅ Closes 6 PM,dnatatravel.com,24.6785543,46.7268866,58:18.0,58:18.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33357,Innova Pharmacy,"MPHH+H5, Al Malaz, Riyadh 12831, Saudi Arabia",Shop,Pharmacy,+966 9200 08391,Open ⋅ Closes 3 AM,,24.6789375,46.7279375,59:42.0,59:42.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33358,Aspire Technologies LLC,"7982 Umar Ibn Abdul Aziz Br Rd, Al Malaz, 2099, Riyadh 12831, Saudi Arabia",Office,IT Firm,+966 11 473 6060,Open ⋅ Closes 6 PM,,24.6787096,46.7278515,00:27.0,00:27.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33359,Riya The Travel Expert,"2168 Umar Ibn Abdul Aziz Br Rd, Al Malaz, Riyadh 12831, Saudi Arabia",Office,Travel Agency,+966 50 048 9092,Open ⋅ Closes 6:30 PM,riya.travel,24.6789229,46.7283374,01:01.0,01:01.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33360,Alf Qissa Salon for Men’s Haircuts,"Umar Ibn Abdul Aziz Br Rd, Al Malaz, Riyadh 12831, Saudi Arabia",Shop,Saloon,+966 51 128 0828,Open ⋅ Closes 11:30 PM,,24.67895,46.7284377,11:41.0,11:41.0,0,",","{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33366,Al Rugaib Holding Company,"MPHH+JHH, Umar Ibn Abdul Aziz Br Rd, Al Malaz, Riyadh 11421, Saudi Arabia",Office,Corporate Office,+966 11 477 8381,Open ⋅ Closes 4:30 PM,,24.6790633,46.7290168,14:56.0,14:56.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33367,Al Malaz Electric and Plumbing,"8024 Umar Ibn Abdul Aziz Br Rd, Al Malaz, 2283, Riyadh 12831, Saudi Arabia",Shop,Hardware,,,,24.679108,46.7292349,16:08.0,16:08.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33369,Wadi Al Nahl,"2077 Umar Ibn Abdul Aziz Br Rd, Al Malaz, Riyadh 12831, Saudi Arabia",Shop,Cosmetics,+966 57 605 4162,,,24.6792688,46.7300143,18:41.0,18:41.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33370,Matba'at Shirkat Zed lil Tiba'ah Al Raqmiyyah,"2383 Umar Ibn Abdul Aziz Br Rd, 8043, Al Malaz, Riyadh 12831, Saudi Arabia",Shop,Printing,+966 11 474 4321,Closed ⋅ Opens 4 PM,,24.6792343,46.7303267,20:01.0,20:01.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33371,Asian Taste Restaurant,"Umar Ibn Abdul Aziz Br Rd, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 1 AM,instagram.com,24.6793506,46.7305577,23:57.0,23:57.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33373,Mhyar Al Khaleej for Logistics Services,"حي, Al Malaz، طريق عمر بن عبدالعزيز الفرعي, Riyadh 12411, Saudi Arabia",Transportation,Transport Agency,+966 53 910 3808,Open ⋅ Closes 5 PM,,24.6792444,46.7307175,26:11.0,26:11.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33361,Alf Qissa Salon for Men’s Haircuts,"Umar Ibn Abdul Aziz Br Rd, Al Malaz, Riyadh 12831, Saudi Arabia",Shop,Saloon,+966 51 128 0828,Open ⋅ Closes 11:30 PM,,24.67895,46.7284377,11:41.0,11:41.0,0,",","{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33368,Al Oroubaa Grill,"2177 Iyad Ibn Hanif, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 12:30 AM,,24.6793571,46.7300849,16:22.0,16:22.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33372,Egyptair,"2429 Umar Ibn Abdul Aziz Br Rd, Al Malaz, Riyadh 12831, Saudi Arabia",Office,Branch Office,+966 12 229 7777,Open ⋅ Closes 4 PM,egyptair.com,24.6794267,46.7307512,24:22.0,24:22.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33374,Al Dafwa Restaurant,"Umar Ibn Abdul Aziz Br Rd, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 2 AM,instagram.com,24.6799277,46.7336186,26:53.0,26:53.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33398,Al Naslah Restaurant,"Jarir St, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 3:30 PM ⋅ Reopens 6:30 PM,intercityhotel.com,24.6718373,46.7361947,41:15.0,41:15.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33527,Madar Electrical Materials,"شارع الأمير عبد المحسن،, Al Malaz, Riyadh 12842, Saudi Arabia",Shop,Electronics,,Open ⋅ Closes 12 PM ⋅ Reopens 4 PM,madaronline.com,24.6582122,46.7500287,52:22.0,52:22.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33362,Alsakhrah Restaurants,"MPHH+HCH, Umar Ibn Abdul Aziz Br Rd, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Restaurant,+966 11 476 6609,Temporarily closed,,24.6789357,46.7285978,12:07.0,12:07.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33375,Al Mas Family Restaurant,"Near National Care Hospital, Al Hawwari, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 12 AM,,24.6781631,46.7275555,27:10.0,27:10.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33399,TANDOOR RESTAURANT,"6566 Al Ihsaa, Az Zahra, Riyadh 12812, Saudi Arabia",Food,Indian Restaurant,,Open ⋅ Closes 1 AM,instagram.com,24.6839115,46.7336522,41:51.0,41:51.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33401,Bahrya Al Malaz,"Jarir St, Al Malaz, Riyadh 12832, Saudi Arabia",Food,Sea Food,,Open ⋅ Closes 12:30 AM,,24.6726661,46.7406413,11:12.0,11:12.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33402,Halawiyat CACAONA,"Jarir St, Al Malaz, Riyadh 12837, Saudi Arabia",Food,Sweets,,Closed ⋅ Opens 3:30 PM,salla.sa,24.6727108,46.7411155,14:56.0,14:56.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33403,Lahore Restaurant,"3830 Al Imam Ali Ibn Abi Taleb, 3830, 7534, Riyadh 12832, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 1:30 AM,,24.6744354,46.7445935,16:34.0,16:34.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
